application,date,country_of_origin,panel_members,outcome,protected_grounds,based_violence,keywords,references,sex_of_applicant
,2016-11-04,Tanzania,Blair O'Connor,deny,nationality,,,,female
,2016-12-12,Brazil,Michael J. Creppy; Joan B. Geller,sustain,,,,,male
,2016-06-13,Guatemala,Anne J. Greer,grant,,,,,male
,2016-10-26,,Ellen Liebowitz,return,,,,,female
,2016-06-20,Guatemala,Ana Landazabal Mann; Blair O'Connor,grant,nationality,,,,male
,2016-08-26,Mexico,Blair O'Connor,sustain,,,,,male
,2016-03-18,Honduras,Edward R. Grant,sustain,,,,,male
,2016-10-03,El Salvador,Ana Landazabal Mann; Blair O'Connor,sustain,,,,,male
,2016-07-06,Mexico,Charles Adkins-Blanch; Blair O'Connor; Gabriel Gonzalez; Ana Landazabal Mann,remand,,,,,male
,2016-08-31,Vietnam,Anne J. Greer,remand,,,,,male
,2016-08-04,El Salvador,Joan B. Geller,sustain,,,,,male
,2016-04-19,Mexico,Edward R. Grant,sustain,,,,,male
,2016-01-07,Honduras,Anne J. Greer; Hugh Mullane,sustain,,,,,male
,2016-03-21,Israel,Edward R. Grant,grant,,family-based,family,,male
,2016-03-29,Guatemala,Ana Landazabal Mann,remand,,,,,female
,2016-12-27,Cuba,Charles Adkins-Blanch; Blair O'Connor,deny,nationality,,,,male
,2016-11-07,Nigeria,Anne J. Greer,deny,nationality,,,,male
,2016-07-12,Mexico,Charles Adkins-Blanch; Edward R. Grant,sustain,,,,,male
,2016-02-19,Pakistan,Anne J. Greer,remand,,family-based,wife,,male
,2016-03-01,Mexico,Earle B. Wilson,remand,,,,,male
,2010-09-03,Jamaica,Ana Landazabal Mann,remand,,,,,male
asylum; withholding_of_removal,2016-08-23,Honduras,Ellen Liebowitz,remand,nationality; religion; social; race; political,family-based,son; child,,female
,2016-08-25,Honduras,Charles Adkins-Blanch; Ana Landazabal Mann,terminate,,,,,female
,2016-10-26,,Ana Landazabal Mann; Blair O'Connor,sustain,,,,,male
,2016-03-31,Guatemala,Ana Landazabal Mann; Edward R. Grant,grant,,,,,female
,2016-12-22,,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2016-10-17,Honduras,Blair O'Connor; Philip J. Montante Jr.,deny,,,,,female
,2016-08-22,Honduras,Blair O'Connor,remand,,,,,male
,2016-06-22,Croatia,Ana Landazabal Mann; Edward R. Grant,sustain,,family-based,husband; child,,female
,2016-12-22,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2016-07-20,El Salvador,Charles Adkins-Blanch,remand,,,,,male
,2016-04-29,Mexico,William A. Cassidy,return,,,,,male
,2016-08-04,,Joan B. Geller; Edward R. Grant,sustain,,,,,male
,2016-03-31,Germany,Edward R. Grant,sustain,,,,,male
,2016-10-21,,Ellen Liebowitz; Edward R. Grant,deny,,,,,unkown
,2016-11-15,,Blair O'Connor; Edward R. Grant,sustain,,,,,male
,2016-03-09,Mexico,Edward R. Grant,return,,,,,male
,2016-12-19,Mexico,Deborah K. Goodwin; Gabriel Gonzalez,deny,,family-based,child; wife,,male
,2016-08-23,Brazil,Charles Adkins-Blanch; Edward R. Grant,deny,,family-based,wife,,male
,2016-12-20,Sudan,Anne J. Greer; Joan B. Geller,remand,,,,,male
,2016-07-07,Venezuela,Charles Adkins-Blanch,terminate,,,,,male
,2016-03-31,Dominica,Anne J. Greer; Joan B. Geller,deny,,family-based,child,,male
asylum; withholding_of_removal; CAT,2016-03-14,Honduras,Charles Adkins-Blanch; Anne J. Greer,remand,social,family-based,woman; daughter,,female
,2016-12-21,Mexico,Joan B. Geller,sustain,,,,,male
,2016-08-09,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann; Gabriel Gonzalez,deny,,,,,male
,2016-07-08,El Salvador,Edward R. Grant,remand,,,,,female
,2016-08-31,Dominican Republic,Charles Adkins-Blanch; Blair O'Connor,sustain,,,,,male
,2016-03-15,Mexico,Charles Adkins-Blanch; Edward R. Grant,remand,,,,,male
,2016-08-30,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann,deny,,,,,female
,2016-02-26,Mexico,Anne J. Greer,deny,,,,,male
,2016-04-15,Dominican Republic,Gabriel Gonzalez,deny,,,,,female
,2016-12-29,Honduras,Charles Adkins-Blanch; Ana Landazabal Mann,deny,,,,,female
,2016-04-11,Guatemala,Ana Landazabal Mann; Edward R. Grant,sustain,,,,,female
,2016-02-10,,Charles Adkins-Blanch,terminate,,,,,male
,2016-09-07,,Garry D. Malphrus,remand,,,,,unkown
,2016-08-25,El Salvador,Ana Landazabal Mann,return,,,,,female
,2016-10-17,India,Ana Landazabal Mann; Blair O'Connor; Edward R. Grant,sustain,,,,,male
,2016-12-30,Vietnam,Charles Adkins-Blanch; Earle B. Wilson,terminate,,,,,male
,2016-05-20,Iran,Ana Landazabal Mann; Blair O'Connor,deny,,,,,male
,2016-03-03,Honduras,Ana Landazabal Mann; Garry D. Malphrus,remand,,,,,female
,2016-07-14,Honduras,Ana Landazabal Mann; Edward R. Grant,sustain,nationality,,,,male
,2016-06-27,,Gabriel Gonzalez,grant,,,,,male
,2016-03-24,El Salvador,Anne J. Greer,remand,,,,,male
,2016-09-07,Guatemala,Anne J. Greer,remand,,,,,male
asylum; withholding_of_removal; CAT,2015-04-24,El Salvador,Charles Adkins-Blanch; Anne J. Greer,remand,social,family-based; gang-based,partner; woman; gang,,female
,2016-03-18,El Salvador,Charles Adkins-Blanch; Gabriel Gonzalez,remand,,,,,male
,2016-12-09,El Salvador,Ana Landazabal Mann; Blair O'Connor,sustain,,,,,unkown
,2016-09-26,Mexico,Charles Adkins-Blanch; Blair O'Connor,grant,,family-based,wife,,male
,2016-12-15,Honduras,Blair O'Connor,sustain,nationality,,,,female
,2016-10-04,Dominican Republic,Ana Landazabal Mann; Blair O'Connor,remand,,,,,male
,2016-08-29,El Salvador,Charles Adkins-Blanch; Edward R. Grant,sustain,,,,,female
,2016-10-18,Ecuador,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2016-08-05,Mexico,Ana Landazabal Mann; Blair O'Connor,remand,,,,,male
,2016-10-21,Guatemala,Sirce E. Owen; Anne J. Greer,grant,,,,,female
,2016-05-04,,Ana Landazabal Mann; Gabriel Gonzalez,remand,,,,,female
,2016-08-08,Honduras,Blair O'Connor; Gabriel Gonzalez,deny,,,,,male
,2016-12-30,Ecuador,Blair O'Connor,sustain,,,,,male
,2016-06-27,Mexico,Gabriel Gonzalez,grant,political,,,,male
,2016-10-11,,Blair O'Connor,remand,,,,,male
,2016-10-24,Guatemala,Anne J. Greer,remand,,,,,male
,2016-02-18,Mexico,Anne J. Greer,remand,,,,,male
,2016-04-18,El Salvador,Ana Landazabal Mann,sustain,nationality,,,,male
,2016-10-14,,Ana Landazabal Mann,grant,,,,,female
,2015-10-28,Honduras,Anne J. Greer,remand,,,,,female
,2016-12-30,Mexico,Blair O'Connor,deny,,,,,male
,2016-12-27,Honduras,Gabriel Gonzalez,grant,,,,,female
,2016-05-06,,Anne J. Greer,grant,,,,,female
,2016-04-29,Philippines,Ana Landazabal Mann,sustain,,,,,female
,2016-08-08,Mexico,Ana Landazabal Mann; Edward R. Grant,deny,,,,,male
,2016-08-11,El Salvador,Charles Adkins-Blanch; Blair O'Connor,return,,,,,female
,2016-12-12,,Joan B. Geller,sustain,,,,,female
,2016-06-27,El Salvador,Charles Adkins-Blanch; Edward R. Grant,sustain,,,,,male
,2016-10-14,Bangladesh,Gabriel Gonzalez,sustain,,,,,male
,2016-06-17,El Salvador,Philip J. Montante Jr.,remand,,,,,male
,2016-03-21,Mexico,Edward R. Grant,sustain,nationality,,,,male
,2016-12-05,Togo,Anne J. Greer; Joan B. Geller,deny,nationality,,,,male
,2016-06-13,Guatemala,Ana Landazabal Mann,deny,,,,,male
,2016-01-29,,Charles Adkins-Blanch,grant,,,,,male
,2016-05-25,Tonga,Blair O'Connor,deny,,family-based,child,,female
asylum; withholding_of_removal; CAT,2016-07-26,Bangladesh,Anne J. Greer; Gabriel Gonzalez,remand,political; nationality,,,,male
,2016-12-02,El Salvador,Charles Adkins-Blanch,grant,,,,,male
,2016-05-20,Mexico,Anne J. Greer; Hugh Mullane,sustain,,family-based,child,,male
,2016-04-27,Mexico,Ana Landazabal Mann; Edward R. Grant,remand,,,,,female
,2015-01-30,El Salvador,Ana Landazabal Mann; Garry D. Malphrus,remand,,,,,male
,2015-05-04,Mexico,Stephanie E. Gorman,deny,,,,,male
,2015-01-20,Mexico,Charles Adkins-Blanch; V. Stuart Couch; Edward R. Grant,deny,,,,,female
,2015-03-20,India,Charles Adkins-Blanch; Edward R. Grant,sustain,,,,,female
,2015-10-15,India,Joan B. Geller; Garry D. Malphrus,terminate,nationality,,,,unkown
,2015-10-08,Guatemala,Anne J. Greer,remand,,,,,male
asylum; withholding_of_removal; CAT,2015-09-10,Argentina,Anne J. Greer,remand,,,,,female
,2015-05-06,Mexico,Charles Adkins-Blanch,grant,,,,,male
,2015-06-10,,Hugh Mullane,remand,,,,,male
,2015-05-28,Guyana,Edward F. Kelly,remand,nationality,,,,male
,2015-10-22,Mexico,Ana Landazabal Mann; Garry D. Malphrus,remand,,,,,male
,2015-11-10,El Salvador,Charles Adkins-Blanch; Edward R. Grant,deny,,,,,female
,2015-05-19,Mexico,Charles Adkins-Blanch; Edward R. Grant,remand,,,,,male
,2015-06-25,Honduras,Michael J. Creppy; Joan B. Geller; Hugh Mullane,remand,,,,,male
,2015-04-24,Philippines,Ana Landazabal Mann; Michael J. Creppy; Philip J. Montante Jr.; Hugh Mullane,remand,,,,,male
,2015-10-07,Guatemala,Anne J. Greer,grant,,,,,female
,2015-03-19,Mexico,Anne J. Greer,sustain,,,,,female
,2015-05-28,Haiti,Garry D. Malphrus,sustain,,,,,male
,2015-02-27,Mexico,Michael J. Creppy; Gabriel Gonzalez; Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2015-04-09,Guatemala,Joan B. Geller,remand,,,,,male
,2015-02-27,Georgia,Anne J. Greer,remand,,,,,male
,2015-09-08,,Gabriel Gonzalez; Edward R. Grant,deny,,,,,male
,2015-01-30,Dominican Republic,Garry D. Malphrus,remand,,,,,male
,2015-05-14,Honduras,Charles Adkins-Blanch; Edward R. Grant,deny,,,,,female
,2015-09-14,Mexico,Edward R. Grant,grant,,,,,male
,2015-02-23,India,Michael J. Creppy,grant,,,,,male
,2015-02-03,Nigeria,Edward R. Grant,deny,,,,,female
,2015-08-27,El Salvador,Edward R. Grant,sustain,,family-based; gang-based,child; gang,,female
,2015-10-16,,Joan B. Geller; Garry D. Malphrus,remand,,,,,female
,2015-10-29,Guatemala,Anne J. Greer; Edward R. Grant,remand,nationality,family-based,parent,,female
,2015-11-17,Mexico,Ana Landazabal Mann; Gabriel Gonzalez,remand,,,,,male
,2015-09-17,,Gabriel Gonzalez,remand,,,,,male
,2015-11-02,Honduras,Anne J. Greer,remand,social,,,,female
,2015-03-27,Venezuela,Anne J. Greer,remand,,,,,male
,2015-05-01,Ghana,Hugh Mullane; Michael J. Creppy; William A. Cassidy; Philip J. Montante Jr.,deny,,,,,female
,2015-01-13,Anguilla,Philip J. Montante Jr.,,nationality,,,,male
,2015-11-13,Honduras,Charles Adkins-Blanch,sustain,,family-based,family,,male
,2015-01-02,,Charles Adkins-Blanch,remand,,,,,male
,2015-06-17,Mexico,Gabriel Gonzalez,,,,,,male
,2015-04-24,Honduras,Charles Adkins-Blanch,deny,,family-based,partner,,female
,2014-09-19,Mexico,Ana Landazabal Mann; Kevin W. Riley,deny,,,,,male
asylum; withholding_of_removal; CAT,2015-09-01,,Ana Landazabal Mann,remand,social,family-based,woman,,female
,2015-01-21,Nigeria,Anne J. Greer,deny,nationality,family-based,daughter,,female
,2015-10-27,Mexico,Edward R. Grant,grant,,,,,male
,2015-04-21,,Joan B. Geller; Garry D. Malphrus,remand,,,,,male
,2015-03-17,Mexico,Charles Adkins-Blanch; Edward R. Grant,grant,,,,,male
,2015-12-14,Guatemala,Anne J. Greer,remand,,,,,female
,2015-03-09,Mexico,Ana Landazabal Mann,remand,,,,,male
,2015-09-25,Haiti,Anne J. Greer,remand,,,,,male
,2015-04-15,Mexico,Michael P. Baird; Anne J. Greer,grant,,,,,male
,2015-05-22,Mexico,Sirce E. Owen; Anne J. Greer,remand,,,,,female
,2015-10-21,Mexico,Joan B. Geller; Garry D. Malphrus,remand,,family-based,family,,male
,2015-02-04,Ecuador,Philip J. Montante Jr.,remand,,family-based,partner,,female
asylum; withholding_of_removal; CAT,2015-02-18,El Salvador,Charles Adkins-Blanch; Anne J. Greer,remand,social,,,,female
,2015-12-30,Mexico,Charles Adkins-Blanch; Edward R. Grant,remand,,,,,male
,2015-06-25,Mexico,Charles Adkins-Blanch; Edward R. Grant,terminate,,,,,female
,2015-06-15,Nigeria,Edward F. Kelly; Ana Landazabal Mann,deny,,,,,female
,2015-11-23,Guatemala,Gabriel Gonzalez; Philip J. Montante Jr.,dismiss,,,,,male
,2015-05-05,Guatemala,Ana Landazabal Mann; Joan B. Geller; Hugh Mullane,,,,,,male
,2015-07-24,Guatemala,Ana Landazabal Mann,deny,,,,,male
,2015-10-01,Kenya,V. Stuart Couch,deny,,,,,male
,2015-03-17,Dominican Republic,Charles Adkins-Blanch,sustain,,,,,male
,2015-09-29,Guatemala,Earle B. Wilson,remand,,family-based,parent,,female
,2015-05-06,Mexico,Gabriel Gonzalez,remand,,,,,male
,2015-10-27,Mexico,Anne J. Greer; Joan B. Geller,sustain,,family-based,child,,male
,2015-07-16,Guyana,Garry D. Malphrus,remand,,,,,unkown
,2015-06-26,Vietnam,Charles Adkins-Blanch; Gabriel Gonzalez,terminate,,,,,female
,2015-01-21,Brazil,Charles Adkins-Blanch,sustain,,,,,female
,2015-01-22,Jamaica,Anne J. Greer,sustain,,,,,male
,2015-05-06,Guatemala,Charles Adkins-Blanch,remand,,,,,male
,2015-05-29,Mexico,Charles Adkins-Blanch; Edward R. Grant,return,,,,,male
,2015-01-23,Haiti,Charles Adkins-Blanch,dismiss,,,,,male
,2015-07-10,Mexico,Philip J. Montante Jr.,sustain,,,,,male
,2015-05-15,,Anne J. Greer,remand,,,,,male
,2015-01-12,Mexico,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2015-10-20,Belize,Joan B. Geller,remand,,,,,male
,2015-02-11,Jamaica,Garry D. Malphrus,sustain,,,,,male
,2015-12-29,Peru,Anne J. Greer,sustain,,,,,female
,2015-04-15,El Salvador,Charles Adkins-Blanch; Edward R. Grant,deny,,,,,male
,2015-05-04,Mexico,Charles Adkins-Blanch; Edward R. Grant,sustain,,,,,male
,2015-05-20,Guatemala,Earle B. Wilson; Anne J. Greer,remand,,family-based,parent,,male
,2015-05-05,Mexico,Charles Adkins-Blanch,grant,,,,,male
,2015-06-09,Ecuador,Gabriel Gonzalez,remand,,,,,male
,2015-06-02,Jordan,Ana Landazabal Mann; Garry D. Malphrus,grant,nationality,,,,male
,2015-12-31,,Charles Adkins-Blanch; Gabriel Gonzalez,deny,,,,,male
,2015-03-19,Mexico,Charles Adkins-Blanch; Edward R. Grant,sustain,,,,,male
,2015-01-21,El Salvador,Gabriel Gonzalez,remand,race,,,,male
asylum; withholding_of_removal; CAT,2008-06-13,Nicaragua,Anne J. Greer,remand,social,family-based,husband,,female
,2015-01-15,Mexico,Hugh Mullane,remand,,,,,male
,2015-05-21,Mexico,Anne J. Greer,return,,,,,male
,2015-09-30,Guatemala,Anne J. Greer,remand,,family-based,child; parent,,female
,2015-10-21,Brazil,Garry D. Malphrus,remand,,,,,male
,2013-01-14,Mexico,Anne J. Greer,terminate,,,,,male
,2015-10-29,Honduras,Charles Adkins-Blanch; Edward R. Grant,sustain,,,,,male
,2015-05-15,Mexico,Joan B. Geller; Hugh Mullane,remand,,,,,male
,2015-09-11,Ghana,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2015-08-18,El Salvador,Edward F. Kelly,deny,,family-based,family,,male
asylum; withholding_of_removal; CAT,2015-06-09,El Salvador,Charles Adkins-Blanch; Anne J. Greer,remand,social,family-based,son; child; partner,,female
,2015-05-06,El Salvador,Charles Adkins-Blanch,sustain,nationality,,,,female
,2015-07-02,Guatemala,Sirce E. Owen; Anne J. Greer,remand,nationality,family-based,parent,,female
,2015-08-04,China,Joan B. Geller,remand,,family-based,husband; son; parent; daughter,,female
,2015-12-31,Ecuador,Anne J. Greer,terminate,,,,,male
,2015-10-28,Guatemala,Charles Adkins-Blanch,sustain,,,,,male
,2015-07-17,Zambia,Ana Landazabal Mann; Michael J. Creppy; Garry D. Malphrus,sustain,,,,,male
,2015-02-20,El Salvador,Garry D. Malphrus; Hugh Mullane,,nationality,,,,male
withholding_of_removal; CAT,2019-02-22,Guatemala,Anne J. Greer,sustain,social,gang-based; family-based,gang; son; wife; parent; husband; family,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2014-06-13,Mexico,Ellen Liebowitz; Garry D. Malphrus; Hugh Mullane,deny,,,,,male
asylum; withholding_of_removal; CAT,2019-06-27,Honduras,Charles Adkins-Blanch,remand,,gender-based; gang-based; family-based,gay; gang; son; child; family,,male
,2019-07-15,Mexico,Anne J. Greer,remand,,,,,male
withholding_of_removal; CAT,2019-09-19,,Blair O'Connor; Mark Noferi; Anne J. Greer,remand,,,,,male
,2019-01-15,Mexico,Joan B. Geller,sustain,,,,,male
,2019-04-09,,Charles Adkins-Blanch; Edward F. Kelly,grant,,,,,male
,2019-05-02,Ethiopia,Anne J. Greer,remand,,,,,male
,2019-11-19,Nicaragua,William A. Cassidy,remand,,,,,male
,2019-05-10,Mexico,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,unkown
,2019-07-15,India,Michael P. Baird; Ellen Liebowitz; Michael J. Creppy,remand,,,,,female
,2019-05-17,,Edward R. Grant,,,,,,female
,2018-10-02,Kuwait,Garry D. Malphrus,dismiss,,,,,male
,2019-11-18,El Salvador,Edward F. Kelly,remand,,gang-based,gang,,male
,2019-03-08,Brazil,Charles Adkins-Blanch,remand,,,,,male
,2019-07-19,Haiti,Michael P. Baird; Michael J. Creppy; Garry D. Malphrus,dismiss,,,,,male
,2019-09-19,,Ana Landazabal Mann; Hugh Mullane,sustain,,,,,female
,2019-11-29,Mexico,Edward R. Grant,deny,nationality,,,,male
,2019-05-02,Mexico,Anne J. Greer,sustain,,,,,male
,2019-11-12,,Stephanie E. Gorman,terminate,,,,,male
,2019-07-01,,Edward F. Kelly; Ana Landazabal Mann; Gabriel Gonzalez,sustain,,,,,male
,2018-08-22,Guatemala,Charles Adkins-Blanch; Ana Landazabal Mann; Joan B. Geller,remand,,,,,male
,2019-06-28,,Ellen Liebowitz; Garry D. Malphrus,sustain,,,,,male
,2019-02-04,Honduras,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,remand,,family-based,son; partner,,male
withholding_of_removal; CAT,2019-01-17,Guatemala,Charles Adkins-Blanch,remand,,,,,female
,2019-09-04,Mexico,Mark Noferi,remand,,family-based,son; child; wife,,male
asylum; withholding_of_removal; CAT,2019-02-22,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann; Gabriel Gonzalez; Edward F. Kelly,remand,,,,,female
,2019-01-03,India,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
asylum; withholding_of_removal; CAT,2019-03-13,India,Michael J. Creppy; Garry D. Malphrus; Hugh Mullane,remand,political,,,,male
,2019-04-09,Guatemala,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2019-03-07,Panama,Charles Adkins-Blanch; Edward F. Kelly; Ana Landazabal Mann,remand,,,,,female
asylum; withholding_of_removal; CAT,2019-11-25,Bangladesh,Anne J. Greer,sustain,,,,,male
asylum; withholding_of_removal; CAT,2019-11-13,El Salvador,Anne J. Greer; Mark Noferi,remand,political,gang-based,gang,,male
,2019-05-24,Mexico,Ana Landazabal Mann; Edward F. Kelly,remand,,family-based,child; family,,male
withholding_of_removal; CAT,2019-12-23,El Salvador,Ana Landazabal Mann; Edward F. Kelly,remand,,gender-based,transgender; lgbti,,male
,2019-07-18,Mexico,Anne J. Greer; Gabriel Gonzalez,remand,,,,,male
,2019-12-13,,Deborah K. Goodwin,grant,,,,,female
CAT,2019-12-27,Dominican Republic,Michael J. Creppy,remand,,family-based,family,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
asylum; withholding_of_removal; CAT,2019-02-01,Haiti,Anne J. Greer,remand,political,family-based,family; parent,,male
,2019-08-13,,Earle B. Wilson,remand,,,,,male
,2019-02-26,Cuba,Ana Landazabal Mann,,,,,,female
withholding_of_removal; CAT,2019-11-19,Jamaica,Michael P. Baird; Earle B. Wilson; Anne J. Greer; Gabriel Gonzalez,,,,,,male
withholding_of_removal; CAT,2019-02-13,Mexico,Blair O'Connor; Gabriel Gonzalez; Garry D. Malphrus,remand,,family-based,family,,male
,2019-04-05,India,Blair O'Connor,remand,,,,,male
,2019-07-03,,Edward R. Grant,remand,,,,,female
,2019-03-15,Somalia,Anne J. Greer,remand,religion; social; political,,,,male
asylum; withholding_of_removal; CAT,2019-08-12,Mexico,Blair O'Connor,remand,social,family-based,family,"Matter of L-E-A-, 27 I&N Dec. 581 (A.G. 2019)",male
asylum; withholding_of_removal; CAT,2018-02-06,Guatemala,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,family-based,family,,female
asylum; withholding_of_removal; CAT,2019-04-26,Haiti,Anne J. Greer,remand,nationality; religion; social; race; political,gang-based; gender-based,gang; homosexual; lgbti,,male
,2019-11-29,,Ana Landazabal Mann; Anne J. Greer,dismiss,,,,,female
,2019-02-13,Brazil,Blair O'Connor; Anne J. Greer,remand,,,,,male
,2019-02-25,Dominican Republic,Anne J. Greer,remand,,family-based,family; wife; child,,male
,2018-05-17,Mexico,Joan B. Geller,sustain,,,,,female
,2018-07-30,,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,unkown
,2018-01-18,India,Edward F. Kelly,deny,,,,,male
,2018-11-06,Brazil,Anne J. Greer; William A. Cassidy,remand,,,,"Matter of AB, 27 I&N Dec. 316 (A.G. 2018)",male
,2018-06-22,,Edward F. Kelly,dismiss,,,,,male
,2018-05-31,,Philip J. Montante Jr.,terminate,,,,,male
,2018-11-29,India,Anne J. Greer,terminate,,family-based,family,,male
,2018-08-31,Mexico,Charles Adkins-Blanch; Joan B. Geller,remand,,,,,male
,2017-07-25,Honduras,Anne J. Greer,remand,,,,,unkown
,2018-04-27,,Charles Adkins-Blanch; Gabriel Gonzalez; Edward F. Kelly,dismiss,,,,,male
,2018-10-16,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
asylum; withholding_of_removal; CAT,2018-04-19,Mexico,Gabriel Gonzalez,terminate,,,,,male
,2018-08-06,India,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,,,,male
,2018-08-02,,Edward F. Kelly,remand,,,,,female
,2018-09-11,,Gabriel Gonzalez,grant,,,,,male
,2018-11-30,Venezuela,Anne J. Greer,remand,,,,,female
,2018-11-15,Mexico,Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2018-06-04,Guatemala,Blair O'Connor,remand,,,,,male
,2018-11-23,Mexico,Charles Adkins-Blanch; Edward F. Kelly,sustain,,,,,male
,2018-06-01,Cuba,Keith E. Hunsucker; Michael J. Creppy; Hugh Mullane,remand,,,,,male
asylum; withholding_of_removal,2018-08-30,Honduras,Anne J. Greer,sustain,,,,,male
,2018-07-16,,Charles Adkins-Blanch,terminate,,,,,female
,2018-09-19,,Charles Adkins-Blanch,sustain,,,,,male
,2018-03-14,Hungary,Edward F. Kelly,remand,,,,,female
,2011-09-30,,Ana Landazabal Mann,grant,,,,,female
,2018-09-05,,Keith E. Hunsucker,terminate,,,,,male
,2018-08-01,Honduras,Anne J. Greer,remand,,,,,female
,2018-12-17,,Edward R. Grant,remand,,,,,male
,2018-09-14,,Edward R. Grant,remand,,,,,male
,2018-08-21,Vietnam,Charles Adkins-Blanch; Ana Landazabal Mann,grant,,,,,female
,2018-06-13,Mexico,Edward F. Kelly; Gabriel Gonzalez,remand,,,,,male
,2018-04-03,Honduras,Edward F. Kelly; Anne J. Greer,deny,,,,,male
,2018-01-08,Haiti,Charles Adkins-Blanch,remand,nationality; religion; social; race; political,family-based,child; parent,,male
,2018-10-22,Barbados,Edward R. Grant,terminate,,,,,male
asylum; withholding_of_removal; CAT,2018-02-14,Pakistan,Anne J. Greer,remand,religion,family-based,family,,female
,2018-10-19,Mexico,Anne J. Greer,terminate,,,,,male
,2018-01-08,Mexico,Ana Landazabal Mann; Anne J. Greer,remand,,,,,male
,2018-05-09,,Charles Adkins-Blanch; Edward F. Kelly,dismiss,,,,,male
,2018-06-29,Vietnam,Blair O'Connor,remand,,family-based,husband; daughter,,female
,2018-03-23,Cuba,Keith E. Hunsucker; Ellen Liebowitz; Garry D. Malphrus,dismiss,nationality,,,,male
,2018-02-27,Vietnam,Anne J. Greer,grant,nationality,,,,male
,2018-01-23,Mexico,Blair O'Connor,remand,,,,,male
,2018-07-26,Mexico,Anne J. Greer,remand,,,,,male
,2018-02-12,Dominican Republic,Ellen Liebowitz; Joan B. Geller; Garry D. Malphrus,remand,nationality,,,,female
,2018-08-24,India,Keith E. Hunsucker; Ellen Liebowitz; Michael J. Creppy,remand,,,,,male
,2018-11-20,Mexico,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,remand,,,,,male
,2018-05-11,Iraq,Ana Landazabal Mann,remand,,,,,male
,2018-10-01,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,male
,2018-02-22,Mexico,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,remand,,family-based,child,,male
,2018-07-30,,Garry D. Malphrus,dismiss,,,,,male
,2018-04-27,,Blair O'Connor,grant,,,,,male
asylum,2018-02-20,El Salvador,Joan B. Geller,remand,social,gang-based,gang,,male
,2018-07-11,Iraq,Charles Adkins-Blanch; Edward F. Kelly,remand,,,,,male
,2018-10-12,Dominican Republic,Garry D. Malphrus; Hugh Mullane,terminate,,,,,male
,2018-03-16,,Charles Adkins-Blanch; Ana Landazabal Mann; Edward F. Kelly,dismiss,,family-based,child,,female
,2018-10-30,Mexico,Anne J. Greer,remand,,,,,male
,2018-02-14,Mexico,Charles Adkins-Blanch,sustain,,,,,male
,2018-10-02,Mexico,Michael J. Creppy; Hugh Mullane,remand,,,,,male
,2018-01-18,Mexico,Charles Adkins-Blanch; Garry D. Malphrus,remand,nationality,,,,male
,2018-04-13,El Salvador,Anne J. Greer,remand,,,,,male
,2018-04-26,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,remand,,family-based,child,,male
,2018-08-03,,Ellen Liebowitz; Michael J. Creppy; Joan B. Geller,remand,,,,,male
,2017-08-28,Guatemala,Anne J. Greer,deny,,family-based,child; daughter,,male
,2006-12-18,Mexico,Charles Adkins-Blanch; Philip J. Montante Jr.,sustain,,,,,male
,2018-02-12,Mexico,Anne J. Greer,dismiss,,,,,unkown
,2018-02-12,Gambia,Charles Adkins-Blanch; Blair O'Connor,remand,,family-based,family; wife; daughter,,male
,2018-10-31,Mexico,Anne J. Greer,remand,,,,,male
,2018-05-31,,Ellen Liebowitz; Michael J. Creppy; Hugh Mullane,terminate,,,,,male
,2018-05-02,,Ana Landazabal Mann,dismiss,,family-based,child,,male
,2018-03-07,Mexico,Charles Adkins-Blanch,remand,,family-based,child,,male
,2018-10-16,South Korea,Edward F. Kelly; Ellen Liebowitz; Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2018-08-24,India,Keith E. Hunsucker; Ellen Liebowitz; Michael J. Creppy,remand,,,,,male
