application,date,country_of_origin,panel_members,outcome,protected_grounds,based_violence,keywords,references,sex_of_applicant
,2017-07-05,Mexico,Charles Adkins-Blanch; Anne J. Greer; Garry D. Malphrus,remand,,,,,male
,2016-11-21,Mexico,Gabriel Gonzalez; Anne J. Greer; Deborah K. Goodwin,remand,,,,,male
,2017-04-26,Mexico,Gabriel Gonzalez; Ana Landazabal Mann; Edward R. Grant,sustain,,,,,male
,2017-03-10,Mexico,Anne J. Greer,deny,,,,,male
withholding_of_removal,2017-08-04,El Salvador,Anne J. Greer,sustain,nationality,family-based,child,,male
,2017-10-20,Cuba,Edward F. Kelly; Ana Landazabal Mann; Philip J. Montante Jr.,sustain,nationality,,,,male
,2017-10-24,Mexico,Edward F. Kelly; Ana Landazabal Mann,return,,,,,female
,2017-09-29,El Salvador,Edward F. Kelly; Anne J. Greer,remand,,,,,male
,2017-01-11,Pakistan,Gabriel Gonzalez; Garry D. Malphrus,sustain,,,,,male
,2017-06-22,Mexico,Ana Landazabal Mann,remand,,family-based,parent,,male
,2017-02-23,Chile,Charles Adkins-Blanch; Ana Landazabal Mann,deny,,,,,male
,2017-12-18,Mexico,Ellen Liebowitz; Garry D. Malphrus; Hugh Mullane,remand,,,,,male
,2017-02-09,Mexico,Ellen Liebowitz; Garry D. Malphrus,sustain,,,,,male
,2017-08-15,Mexico,Charles Adkins-Blanch; Edward R. Grant,grant,,,,,male
,2017-05-30,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann,sustain,,,,,unkown
,2017-04-18,Mexico,Charles Adkins-Blanch; Edward R. Grant,sustain,,,,,male
,2017-01-26,India,Michael J. Creppy; Gabriel Gonzalez; Garry D. Malphrus; Hugh Mullane,remand,nationality,,,,female
,2017-04-20,El Salvador,Anne J. Greer,dismiss,,,,,male
,2017-03-16,El Salvador,Charles Adkins-Blanch; Ana Landazabal Mann; Edward R. Grant,sustain,,,,,female
,2017-03-03,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann; Blair O'Connor; Gabriel Gonzalez,remand,,,,,male
,2017-02-15,,Garry D. Malphrus; Hugh Mullane,remand,,,,,female
,2017-12-11,Poland,Charles Adkins-Blanch; Edward F. Kelly,return,,,,,female
,2017-02-10,El Salvador,Anne J. Greer,remand,nationality,,,,male
,2017-07-18,Mexico,Charles Adkins-Blanch; Ana Landazabal Mann,deny,,,,,male
,2017-10-26,Guatemala,Gabriel Gonzalez,deny,nationality,,,,male
,2017-09-29,Jamaica,Edward F. Kelly; Anne J. Greer,remand,nationality,family-based,son; family; child,,female
,2017-11-20,Georgia,Ellen Liebowitz,sustain,,,,,female
,2017-05-08,Mexico,Blair O'Connor,sustain,,,,,female
,2016-08-11,El Salvador,Edward F. Kelly; Ana Landazabal Mann,grant,,,,,female
,2017-06-07,Guatemala,Ana Landazabal Mann; Edward R. Grant,sustain,nationality,,,,female
